日期,代號,名稱,市場別,收盤價,漲跌幅,成交量,本益比,主力淨買超
2026-07-06,00895,富邦未來車,上市,51.4,-0.2,853315,,332841.0
2026-07-06,00896,中信綠能及電動車,上市,28.36,0.05,7255907,,3417381.0
2026-07-06,00897,富邦基因免疫生技,上市,11.81,0.06,1580996,,-294000.0
2026-07-06,00898,國泰基因免疫革命,上市,9.75,0.07,1415963,,544618.0
2026-07-06,00899,FT潔淨能源,上市,26.03,-0.14,84009,,21575.0
2026-07-06,00900,富邦特選高股息30,上市,19.5,-0.01,4723955,,2245929.0
2026-07-06,00901,永豐智能車供應鏈,上市,47.35,-0.46,122257,,-13295.0
2026-07-06,00902,中信電池及儲能,上市,14.24,-0.16,1369649,,-48848.0
2026-07-06,00903,富邦元宇宙,上市,21.05,0.13,286881,,61846.0
2026-07-06,00904,新光臺灣半導體30,上市,43.39,0.11,2440040,,1322360.0
2026-07-06,00905,FT臺灣Smart,上市,28.61,-0.09,4336765,,-3007774.0
2026-07-06,00907,永豐優息存股,上市,16.5,0.17,2008978,,1535734.0
2026-07-06,00908,富邦入息REITs+,上市,15.4,0.06,121419,,-9559.0
2026-07-06,00909,國泰數位支付服務,上市,46.18,0.05,2018517,,-660267.0
2026-07-06,00910,第一金太空衛星,上市,65.0,0.2,1473669,,716645.0
2026-07-06,00911,兆豐洲際半導體,上市,63.4,-0.05,441402,,-105538.0
2026-07-06,00912,中信臺灣智慧50,上市,34.87,-0.1,761139,,-438617.0
2026-07-06,00913,兆豐台灣晶圓製造,上市,54.2,0.0,2474808,,-662228.0
2026-07-06,00915,凱基優選高股息30,上市,32.44,0.07,2669218,,458463.0
2026-07-06,00916,國泰全球品牌50,上市,26.08,0.13,2540012,,1447437.0
2026-07-06,00917,中信特選金融,上市,22.88,0.12,643239,,151740.0
2026-07-06,00918,大華優利高填息30,上市,32.06,0.11,28015942,,14338063.0
2026-07-06,00919,群益台灣精選高息,上市,29.76,0.23,62844992,,7033442.0
2026-07-06,00920,富邦ESG綠色電力,上市,25.98,-0.15,518717,,45685.0
2026-07-06,00921,兆豐龍頭等權重,上市,23.85,0.14,207555,,114061.0
2026-07-06,00922,國泰台灣領袖50,上市,41.57,-0.19,15409933,,-6464026.0
2026-07-06,00923,群益台ESG低碳50,上市,43.18,-0.18,4555563,,146449.0
2026-07-06,00924,復華S&P500成長,上市,32.58,0.14,1761738,,309381.0
2026-07-06,00926,凱基全球菁英55,上市,24.87,0.13,226712,,169982.0
2026-07-06,00927,群益半導體收益,上市,42.6,0.08,66095257,,-35640950.0
